Comment,Designator,Footprint,LCSC
"10n0","C14,C24,C41","Capacitor_SMD:C_0805_2012Metric",""
"10u0/75V","C16,C36,C37,C38,C39,C43,C44,C51,C52,C53","Capacitor_SMD:C_1210_3225Metric",""
"100n","C1,C2,C5,C17,C18,C19,C20,C25,C30,C31,C33,C45,C46,C48,C50,C55,C57,C58","Capacitor_SMD:C_0805_2012Metric",""
"1n00","C23,C35,C40,C47","Capacitor_SMD:C_0805_2012Metric",""
"22u0/25V","C26,C28,C34","Capacitor_SMD:C_0805_2012Metric",""
"15p0","C3,C4","Capacitor_SMD:C_0805_2012Metric",""
"10u0/25V","C6,C7,C8,C9,C10,C11,C12,C13,C15,C21,C22,C27,C29,C32,C42,C49","Capacitor_SMD:C_0805_2012Metric",""
"100u","C54,C56,C59,C60,C61,C62","Capacitor_SMD:CP_Elec_10x10",""
"BLUE","D1","LED_SMD:LED_0805_2012Metric",""
"RED","D2,D11","LED_SMD:LED_0805_2012Metric",""
"GREEN","D3","LED_SMD:LED_0805_2012Metric",""
"SS210","D4","Diode_SMD:D_SMA","C14996"
"B5819W","D6","Diode_SMD:D_SOD-123","C8598"
"ZPD12","D7","Diode_SMD:D_MiniMELF",""
"MountingHole","H1,H2,H3","MountingHole:MountingHole_3.2mm_M3",""
"Conn_01x06","J1,J2,J3","Connector_JST:JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",""
"PHASE_C","J10","gesc:TestPoint_Pad_5.0x5.0mm",""
"PHASE_B","J11","gesc:TestPoint_Pad_5.0x5.0mm",""
"T-Motor","J13","Connector_JST:JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",""
"Conn_01x03","J14","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"EXT_OFF","J15","Connector_JST:JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",""
"Conn_01x05","J4","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x03","J5","Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical",""
"USB_B_Mini","J6","Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical_CircularHoles",""
"BAT+","J7","gesc:TestPoint_Pad_5.0x5.0mm",""
"BAT-","J8","gesc:TestPoint_Pad_5.0x5.0mm",""
"PHASE_A","J9","gesc:TestPoint_Pad_5.0x5.0mm",""
"330u","L1","Inductor_SMD:L_6.3x6.3_H3"," C83453"
"TPH2R608NH","Q1,Q2,Q3,Q4,Q5,Q6","gesc:TRANS_TPHR8504PL-3PIN","C146377"
"221r","R10,R11","Resistor_SMD:R_0805_2012Metric",""
"220k","R12","Resistor_SMD:R_0805_2012Metric",""
"110k","R15","Resistor_SMD:R_0805_2012Metric",""
"10r0","R2,R3,R5","Resistor_SMD:R_0805_2012Metric",""
"56k0","R13,R17,R19,R21","Resistor_SMD:R_0805_2012Metric",""
"5r60","R25,R26,R28,R32,R42,R43","Resistor_SMD:R_0805_2012Metric",""
"3k30","R27","Resistor_SMD:R_0805_2012Metric",""
"0r001","R31,R45,R46","Resistor_SMD:R_2512_6332Metric",""
"7k50","R35","Resistor_SMD:R_0805_2012Metric",""
"0r00","R1,R37","Resistor_SMD:R_0805_2012Metric",""
"4r75","R24,R38,R39","Resistor_SMD:R_0805_2012Metric",""
"CMFB103F3950FANT","R47","Resistor_SMD:R_0805_2012Metric",""
"2k70","R4,R6,R7,R14,R18,R20,R22,R23","Resistor_SMD:R_0805_2012Metric",""
"11k0","R8,R16,R36,R40,R41","Resistor_SMD:R_0805_2012Metric",""
"1k00","R9,R29,R30,R33","Resistor_SMD:R_0805_2012Metric",""
"Antenna","TP1","TestPoint:TestPoint_Pad_D2.0mm",""
"STM32F405RGTx","U1","Package_QFP:LQFP-64_10x10mm_P0.5mm","C15742"
"LM5008MM","U10","Package_SO:MSOP-8_3x3mm_P0.65mm"," C9424"
"SN74LVC1G66DBVR","U2,U7,U8,U9,U11,U13","gesc:M74VHC1GT66DTT1G","C133643"
"AQY282S","U14","Package_SO:SO-4_4.4x4.3mm_P2.54mm","C250827"
"EYSGJNZWY","U16","gesc:BLE_EYSGJNZWY",""
"AMS1117-3.3","U17","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"RFM95W-868S2","U18","gesc:XCVR_RFM95W-868S2",""
"2ED2304S06F","U3,U12,U15","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"INA240A1","U4,U5,U6","gesc:INA240A1QPWRQ1","C93965"
"X50328MSB2GI","Y1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
