Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",1.710000,-46.740000,270.000000,top
"C2","100n","C_0805_2012Metric",-36.502000,-19.874000,270.000000,top
"C3","15p0","C_0805_2012Metric",-49.954400,-3.700000,0.000000,top
"C4","15p0","C_0805_2012Metric",-49.954400,-12.523000,0.000000,top
"C5","100n","C_0805_2012Metric",-45.926500,-6.189000,180.000000,top
"C6","10u0/25V","C_0805_2012Metric",-32.946000,-18.985000,180.000000,top
"C7","10u0/25V","C_0805_2012Metric",-26.090000,-9.620000,180.000000,top
"C8","10u0/25V","C_0805_2012Metric",-45.926500,-4.030000,0.000000,top
"C9","10u0/25V","C_0805_2012Metric",-38.534000,-19.889000,90.000000,top
"C10","10u0/25V","C_0805_2012Metric",-29.278000,-18.985000,180.000000,top
"C11","10u0/25V","C_0805_2012Metric",-26.060300,-7.301000,180.000000,top
"C12","10u0/25V","C_0805_2012Metric",-36.400500,-3.048000,180.000000,top
"C13","10u0/25V","C_0805_2012Metric",-45.854000,-14.960000,0.000000,top
"C14","10n0","C_0805_2012Metric",-51.637500,4.000000,180.000000,top
"C15","10u0/25V","C_0805_2012Metric",-27.299800,14.999800,0.000000,top
"C16","10u0/75V","C_1210_3225Metric",47.050000,4.749600,180.000000,top
"C17","100n","C_0805_2012Metric",51.300000,4.099600,0.000000,top
"C18","100n","C_0805_2012Metric",-49.100000,0.637500,90.000000,top
"C19","100n","C_0805_2012Metric",51.300000,1.899600,0.000000,top
"C20","100n","C_0805_2012Metric",41.150000,2.712100,90.000000,top
"C21","10u0/25V","C_0805_2012Metric",-29.862300,24.874800,0.000000,top
"C22","10u0/25V","C_0805_2012Metric",3.200200,26.619800,270.000000,top
"C23","1n00","C_0805_2012Metric",43.600000,-2.850400,90.000000,top
"C24","10n0","C_0805_2012Metric",-41.162500,4.100000,180.000000,top
"C25","100n","C_0805_2012Metric",-40.561500,-3.048000,180.000000,top
"C26","22u0/25V","C_0805_2012Metric",41.050000,-5.500200,90.000000,top
"C27","10u0/25V","C_0805_2012Metric",-1.737300,33.819800,0.000000,top
"C28","22u0/25V","C_0805_2012Metric",29.700200,-6.862700,90.000000,top
"C29","10u0/25V","C_0805_2012Metric",19.852900,20.499600,180.000000,top
