Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100N,C_0805_2012Metric,34.607500,-28.003500,45.000000,top
C2,100n,C_0805_2012Metric,-22.352000,-36.449000,270.000000,top
C3,15p0,C_0805_2012Metric,-31.950900,-18.694400,0.000000,top
C4,15p0,C_0805_2012Metric,-41.148000,-19.458700,270.000000,top
C5,100n,C_0805_2012Metric,-30.401500,-23.114000,180.000000,top
C6,10u0/16V,C_0805_2012Metric,-18.796000,-35.560000,180.000000,top
C7,10u0/16V,C_0805_2012Metric,-11.938000,-26.085800,180.000000,top
C8,10u0/16V,C_0805_2012Metric,-30.401500,-20.955000,0.000000,top
C9,10u0/16V,C_0805_2012Metric,-24.384000,-36.464000,90.000000,top
C10,10u0/16V,C_0805_2012Metric,-15.128000,-35.560000,180.000000,top
C11,10u0/16V,C_0805_2012Metric,-11.910300,-23.876000,180.000000,top
C12,10u0/16V,C_0805_2012Metric,-26.616900,-19.761200,0.000000,top
C13,10u0/16V,C_0805_2012Metric,-31.354000,-32.385000,0.000000,top
C14,1n00,C_0805_2012Metric,-37.259500,16.129000,180.000000,top
C15,10u0/16V,C_0805_2012Metric,-34.620200,-15.517100,270.000000,top
C16,100n,C_0805_2012Metric,-49.261000,-0.825500,0.000000,top
C17,6n80,C_0805_2012Metric,-44.958000,-11.635500,90.000000,top
C18,10u0/16V,C_0805_2012Metric,-32.461200,-15.517100,270.000000,top
C19,10u0/16V,C_0805_2012Metric,-28.244800,-15.567900,270.000000,top
C20,150p,C_0805_2012Metric,-42.799000,-11.605500,90.000000,top
C21,10u0/16V,C_0805_2012Metric,-26.136600,-15.572500,270.000000,top
C22,22n0,C_0805_2012Metric,-30.302200,-15.567900,90.000000,top
C23,10u0/16V,C_0805_2012Metric,-47.927500,-13.462000,0.000000,top
C24,1n00,C_0805_2012Metric,-30.937200,42.316400,180.000000,top
C25,100n,C_0805_2012Metric,-51.610500,-13.462000,180.000000,top
C26,10u0/75V,C_1210_3225Metric,-24.765000,-10.792000,270.000000,top
C27,100n,C_0805_2012Metric,-38.910500,0.381000,180.000000,top
C28,15n0,C_0805_2012Metric,-44.958000,-4.269500,90.000000,top
C29,220n,C_0805_2012Metric,-35.306000,1.572500,270.000000,top
C30,220n,C_0805_2012Metric,-32.131000,1.486000,270.000000,top
C31,220n,C_0805_2012Metric,-29.337000,1.412000,270.000000,top
C32,10u0/75V,C_1210_3225Metric,-43.310000,-0.508000,180.000000,top
C33,10u0/16V,C_0805_2012Metric,-46.990000,7.859000,90.000000,top
C34,100u/16V,CP_EIA-3216-18_Kemet-A,-46.990000,3.001000,270.000000,top
C35,1n00,C_0805_2012Metric,-31.417500,-25.908000,180.000000,top
C36,10u0/75V,C_1210_3225Metric,-10.334800,40.741600,180.000000,top
C37,10u0/75V,C_1210_3225Metric,-25.403000,24.384000,0.000000,top
C38,10u0/75V,C_1210_3225Metric,-9.826800,32.816800,0.000000,top
C39,10u0/75V,C_1210_3225Metric,-25.403000,27.813000,0.000000,top
C40,1n00,C_0805_2012Metric,-31.417500,-28.067000,180.000000,top
C41,1n00,C_0805_2012Metric,-4.635500,27.417000,90.000000,top
C42,10u0/16V,C_0805_2012Metric,-26.479500,-36.464000,270.000000,top
C43,10u0/75V,C_1210_3225Metric,-10.334800,44.551600,180.000000,top
C44,10u0/75V,C_1210_3225Metric,-9.826800,36.626800,0.000000,top
C45,100n,C_0805_2012Metric,-44.297600,26.134300,90.000000,top
C46,100n,C_0805_2012Metric,6.667500,31.874700,90.000000,top
C47,1n00,C_0805_2012Metric,-31.417500,-30.226000,180.000000,top
C48,100n,C_0805_2012Metric,-28.854400,34.821100,90.000000,top
D1,BLUE,LED_0805_2012Metric,-19.304000,-39.194499,90.000000,top
D2,RED,LED_0805_2012Metric,-10.668000,-39.092328,90.000000,top
D3,GREEN,LED_0805_2012Metric,-14.986000,-39.130999,90.000000,top
D4,B360_SMA,D_SMA,-41.878000,10.414000,180.000000,top
D5,SMBJ6.0CA,D_SMB,-51.117500,7.801500,90.000000,top
J1,Conn_01x06,JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical,5.856113,-49.007597,186.000000,top
J2,Conn_01x06,JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical,24.275975,-42.906513,210.000000,top
J3,Conn_01x06,JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical,-16.129000,-46.863000,160.000000,top
J5,Conn_01x03,JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,36.830000,-33.528000,225.000000,top
L1,22u,L_Bourns_SRN6045TA,-41.953000,4.953000,180.000000,top
Q1,TPH2R506PL,TRANS_TPHR8504PL-3PIN,-31.329730,26.497174,90.000000,top
Q2,TPH2R506PL,TRANS_TPHR8504PL-3PIN,-31.329730,18.581174,90.000000,top
